	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_furniture.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_furniture.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_furniture.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_furniture.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_furniture.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_furniture.c3d
	FVHL	FVHL	FVHL	FVHR	FVHR	FVHR
	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.24913	0.31195	0.08264	0.25434	0.03119	0.08110
2	0.25106	0.31274	0.08346	0.25770	0.03050	0.07876
3	0.25258	0.31336	0.08250	0.26289	0.03117	0.07829
4	0.25577	0.31418	0.08353	0.26603	0.03377	0.07994
5	0.25737	0.31460	0.08360	0.26986	0.03406	0.08013
6	0.25807	0.31509	0.08201	0.27355	0.03346	0.07862
7	0.25978	0.31553	0.08222	0.27568	0.03528	0.08086
8	0.26149	0.31604	0.08235	0.27899	0.03571	0.08038
9	0.26283	0.31646	0.08260	0.28065	0.03465	0.07823
10	0.26403	0.31664	0.08250	0.28327	0.03561	0.07896
11	0.26630	0.31691	0.08199	0.28676	0.03634	0.07954
12	0.26780	0.31760	0.08226	0.28726	0.03818	0.07999
13	0.26911	0.31768	0.08259	0.28945	0.03700	0.07909
14	0.27112	0.31783	0.08222	0.29219	0.03745	0.08054
15	0.27081	0.31793	0.08219	0.29318	0.03775	0.07997
16	0.27230	0.31836	0.08254	0.29523	0.03831	0.08046
17	0.27351	0.31857	0.08245	0.29670	0.03863	0.07978
18	0.27415	0.31919	0.08279	0.29686	0.03787	0.07790
19	0.27462	0.31967	0.08250	0.30028	0.03931	0.07886
20	0.27460	0.32012	0.08264	0.30095	0.04037	0.07997
21	0.27412	0.32059	0.08279	0.30173	0.04069	0.07971
22	0.27374	0.32086	0.08281	0.30208	0.04107	0.07967
23	0.27292	0.32120	0.08248	0.30265	0.04163	0.07981
24	0.27216	0.32141	0.08257	0.30332	0.04086	0.07891
25	0.27145	0.32162	0.08257	0.30319	0.04128	0.07895
26	0.27006	0.32191	0.08242	0.30338	0.04322	0.08031
27	0.26929	0.32236	0.08273	0.30361	0.04313	0.07945
28	0.26733	0.32271	0.08254	0.30361	0.04376	0.07940
29	0.26550	0.32326	0.08262	0.30317	0.04359	0.07849
30	0.26421	0.32379	0.08348	0.30361	0.04501	0.07939
31	0.26375	0.32392	0.08343	0.30377	0.04502	0.07946
32	0.26267	0.32410	0.08341	0.30412	0.04597	0.07982
33	0.26231	0.32422	0.08355	0.30417	0.04573	0.07933
34	0.26215	0.32431	0.08351	0.30421	0.04581	0.07931
35	0.26240	0.32441	0.08349	0.30437	0.04566	0.07875
36	0.26298	0.32457	0.08307	0.30448	0.04556	0.07863
37	0.26372	0.32454	0.08238	0.30481	0.04539	0.07871
38	0.26436	0.32430	0.08322	0.30542	0.04549	0.07892
39	0.26592	0.32425	0.08243	0.30639	0.04578	0.07934
40	0.26881	0.32486	0.08262	0.30802	0.04658	0.08103
41	0.26963	0.32462	0.08282	0.31087	0.04616	0.08081
42	0.27150	0.32432	0.08296	0.31133	0.04676	0.08119
43	0.27405	0.32452	0.08320	0.31327	0.04591	0.08022
44	0.27769	0.32434	0.08247	0.31567	0.04561	0.08000
45	0.28121	0.32442	0.08239	0.31802	0.04543	0.08046
46	0.28457	0.32393	0.08192	0.32001	0.04542	0.08014
47	0.28872	0.32352	0.08137	0.32316	0.04525	0.08097
48	0.29338	0.32378	0.08212	0.32728	0.04444	0.08019
49	0.29844	0.32392	0.08224	0.33018	0.04487	0.07971
50	0.30239	0.32360	0.08206	0.33467	0.04502	0.08056
51	0.30787	0.32397	0.08266	0.33859	0.04363	0.08019
52	0.31318	0.32411	0.08210	0.34387	0.04516	0.08080
53	0.31832	0.32396	0.08116	0.34812	0.04556	0.08029
54	0.32462	0.32421	0.08219	0.35402	0.04541	0.08072
55	0.32983	0.32461	0.08218	0.35903	0.04480	0.07936
56	0.33601	0.32518	0.08228	0.36433	0.04574	0.08100
57	0.34208	0.32503	0.08288	0.37006	0.04601	0.08078
58	0.34898	0.32516	0.08264	0.37643	0.04615	0.08050
59	0.35560	0.32495	0.08181	0.38183	0.04563	0.08006
60	0.36208	0.32534	0.08180	0.38855	0.04639	0.08012
61	0.36891	0.32604	0.08231	0.39434	0.04673	0.08010
62	0.37585	0.32607	0.08251	0.40000	0.04567	0.07921
63	0.38301	0.32594	0.08259	0.40747	0.04674	0.08070
64	0.39064	0.32627	0.08222	0.41397	0.04701	0.08089
65	0.39772	0.32688	0.08191	0.42030	0.04633	0.08017
66	0.40508	0.32708	0.08219	0.42792	0.04716	0.08042
67	0.41281	0.32674	0.08177	0.43530	0.04719	0.07952
68	0.42031	0.32681	0.08120	0.44125	0.04632	0.07952
69	0.42818	0.32709	0.08258	0.44878	0.04606	0.07989
70	0.43607	0.32686	0.08278	0.45482	0.04675	0.08010
71	0.44442	0.32669	0.08272	0.46182	0.04639	0.08020
72	0.45182	0.32699	0.08244	0.46907	0.04599	0.07952
73	0.45996	0.32666	0.08293	0.47669	0.04631	0.07997
74	0.46777	0.32662	0.08258	0.48325	0.04601	0.07991
75	0.47656	0.32634	0.08222	0.48996	0.04545	0.07964
76	0.48460	0.32562	0.08145	0.49752	0.04585	0.07899
77	0.49253	0.32576	0.08213	0.50450	0.04484	0.07852
78	0.50112	0.32549	0.08241	0.51054	0.04427	0.07948
79	0.50864	0.32473	0.08192	0.51802	0.04456	0.07950
80	0.51711	0.32454	0.08312	0.52452	0.04359	0.07927
81	0.52576	0.32426	0.08150	0.53088	0.04300	0.07940
82	0.53350	0.32392	0.08257	0.53924	0.04293	0.07881
83	0.54083	0.32355	0.08237	0.54530	0.04196	0.07917
84	0.54907	0.32341	0.08205	0.55285	0.04239	0.07961
85	0.55627	0.32310	0.08296	0.55962	0.04239	0.08027
86	0.56435	0.32258	0.08256	0.56626	0.04162	0.08035
87	0.57195	0.32224	0.08222	0.57279	0.04077	0.07845
88	0.58013	0.32188	0.08198	0.57986	0.04052	0.07852
89	0.58762	0.32074	0.08186	0.58599	0.04021	0.07980
90	0.59545	0.32071	0.08235	0.59333	0.03949	0.07962
91	0.60288	0.31998	0.08274	0.59972	0.03884	0.07919
92	0.61010	0.31936	0.08275	0.60615	0.03806	0.07942
93	0.61715	0.31904	0.08172	0.61265	0.03713	0.07897
94	0.62468	0.31859	0.08184	0.61947	0.03758	0.07932
95	0.63277	0.31812	0.08204	0.62651	0.03726	0.07911
96	0.63993	0.31765	0.08249	0.63372	0.03666	0.07872
97	0.64740	0.31709	0.08295	0.64033	0.03624	0.07914
98	0.65468	0.31608	0.08218	0.64738	0.03511	0.07914
99	0.66223	0.31585	0.08252	0.65433	0.03471	0.07858
100	0.66904	0.31511	0.08250	0.66053	0.03455	0.07933
101	0.67650	0.31425	0.08250	0.66729	0.03374	0.07877
102	0.68392	0.31346	0.08246	0.67360	0.03266	0.07907
103	0.69044	0.31280	0.08270	0.67995	0.03160	0.07872
104	0.69798	0.31209	0.08357	0.68692	0.03162	0.07993
105	0.70491	0.31151	0.08249	0.69300	0.03103	0.07955
106	0.71147	0.31053	0.08362	0.69943	0.02930	0.07880
107	0.71893	0.31022	0.08300	0.70640	0.02928	0.07984
108	0.72617	0.30960	0.08283	0.71276	0.02855	0.07973
109	0.73349	0.30862	0.08255	0.71931	0.02820	0.07929
110	0.74090	0.30781	0.08300	0.72574	0.02743	0.07941
111	0.74778	0.30658	0.08262	0.73126	0.02683	0.08026
112	0.75499	0.30565	0.08301	0.73765	0.02538	0.07969
113	0.76186	0.30484	0.08307	0.74367	0.02501	0.08090
114	0.76896	0.30388	0.08334	0.74959	0.02412	0.07990
115	0.77608	0.30313	0.08269	0.75634	0.02328	0.07972
116	0.78293	0.30218	0.08303	0.76228	0.02237	0.07921
117	0.79012	0.30122	0.08357	0.76812	0.02123	0.07981
118	0.79667	0.30046	0.08362	0.77394	0.01953	0.07922
119	0.80321	0.29929	0.08325	0.78068	0.01941	0.08012
120	0.81012	0.29851	0.08276	0.78608	0.01844	0.07969
121	0.81724	0.29776	0.08290	0.79235	0.01733	0.07961
122	0.82390	0.29655	0.08263	0.79933	0.01740	0.08006
123	0.83107	0.29564	0.08346	0.80501	0.01530	0.07975
124	0.83772	0.29445	0.08268	0.81071	0.01447	0.07939
125	0.84409	0.29351	0.08280	0.81652	0.01440	0.08051
126	0.85154	0.29248	0.08347	0.82300	0.01302	0.08008
127	0.85671	0.29148	0.08300	0.82903	0.01156	0.07966
128	0.86403	0.29032	0.08326	0.83524	0.01090	0.08010
129	0.87008	0.28945	0.08272	0.84053	0.01047	0.08035
130	0.87666	0.28841	0.08349	0.84692	0.00920	0.08048
131	0.88277	0.28707	0.08302	0.85291	0.00805	0.08091
132	0.88961	0.28617	0.08388	0.85747	0.00653	0.07993
133	0.89582	0.28500	0.08370	0.86295	0.00642	0.08082
134	0.90162	0.28411	0.08438	0.86822	0.00497	0.08076
135	0.90707	0.28278	0.08386	0.87384	0.00427	0.08042
136	0.91304	0.28225	0.08363	0.87877	0.00300	0.08054
137	0.91927	0.28084	0.08373	0.88364	0.00204	0.08040
138	0.92466	0.27974	0.08386	0.88878	0.00147	0.08045
139	0.92992	0.27871	0.08374	0.89323	-0.00007	0.07993
140	0.93575	0.27760	0.08453	0.89761	-0.00115	0.07898
141	0.94083	0.27643	0.08416	0.90249	-0.00196	0.07997
142	0.94564	0.27566	0.08361	0.90691	-0.00265	0.08029
143	0.95047	0.27452	0.08366	0.91094	-0.00341	0.08038
144	0.95498	0.27382	0.08391	0.91556	-0.00413	0.08044
145	0.95964	0.27324	0.08431	0.91959	-0.00438	0.08079
146	0.96381	0.27203	0.08378	0.92366	-0.00581	0.08089
147	0.96807	0.27106	0.08386	0.92623	-0.00706	0.08068
148	0.97265	0.26973	0.08384	0.92997	-0.00785	0.08014
149	0.97648	0.26894	0.08473	0.93339	-0.00863	0.08083
150	0.98018	0.26786	0.08427	0.93567	-0.00941	0.08055
151	0.98378	0.26688	0.08466	0.93837	-0.01008	0.08079
152	0.98758	0.26589	0.08482	0.94111	-0.01071	0.08130
153	0.99055	0.26545	0.08476	0.94320	-0.01167	0.08033
154	0.99394	0.26434	0.08435	0.94562	-0.01234	0.08064
155	0.99610	0.26327	0.08411	0.94758	-0.01262	0.08066
156	0.99853	0.26300	0.08447	0.94920	-0.01344	0.08040
157	1.00071	0.26232	0.08443	0.95098	-0.01448	0.07990
158	1.00264	0.26167	0.08417	0.95306	-0.01469	0.08072
159	1.00480	0.26124	0.08407	0.95427	-0.01486	0.08080
160	1.00573	0.26116	0.08423	0.95540	-0.01565	0.08014
161	1.00743	0.26104	0.08422	0.95626	-0.01590	0.07981
162	1.00881	0.26084	0.08406	0.95767	-0.01582	0.08025
163	1.00900	0.26053	0.08427	0.95870	-0.01550	0.08087
164	1.00968	0.26051	0.08440	0.96017	-0.01592	0.08116
165	1.01053	0.26014	0.08432	0.96095	-0.01617	0.08126
166	1.01139	0.25994	0.08431	0.96136	-0.01605	0.08143
167	1.01191	0.25982	0.08444	0.96161	-0.01638	0.08144
