	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_empty.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_empty.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_empty.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_empty.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_empty.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_empty.c3d
	FVHL	FVHL	FVHL	FVHR	FVHR	FVHR
	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.22402	0.33280	0.08550	0.21511	0.04974	0.07775
2	0.22629	0.33268	0.08519	0.21787	0.04991	0.07773
3	0.22983	0.33318	0.08505	0.22087	0.04877	0.07723
4	0.23318	0.33202	0.08512	0.22445	0.04826	0.07552
5	0.23640	0.33195	0.08519	0.22968	0.04915	0.07601
6	0.24091	0.33154	0.08383	0.23337	0.04930	0.07556
7	0.24387	0.33117	0.08321	0.23731	0.04873	0.07567
8	0.24834	0.33079	0.08280	0.23930	0.04701	0.07405
9	0.25291	0.33067	0.08213	0.24404	0.04697	0.07474
10	0.25751	0.32981	0.08229	0.24751	0.04705	0.07598
11	0.26118	0.32946	0.08196	0.25209	0.04708	0.07535
12	0.26639	0.32897	0.08327	0.25646	0.04572	0.07488
13	0.27033	0.32891	0.08265	0.26309	0.04598	0.07536
14	0.27545	0.32830	0.08226	0.26705	0.04613	0.07547
15	0.28062	0.32783	0.08263	0.27307	0.04530	0.07565
16	0.28662	0.32716	0.08263	0.27716	0.04313	0.07472
17	0.29088	0.32678	0.08244	0.28232	0.04368	0.07595
18	0.29771	0.32591	0.08180	0.28880	0.04276	0.07473
19	0.30289	0.32496	0.08169	0.29394	0.04214	0.07389
20	0.30903	0.32455	0.08257	0.30049	0.04182	0.07507
21	0.31592	0.32425	0.08196	0.30652	0.04128	0.07550
22	0.32270	0.32317	0.08294	0.31275	0.04086	0.07573
23	0.32846	0.32192	0.08163	0.31940	0.03976	0.07641
24	0.33601	0.32166	0.08290	0.32625	0.03897	0.07629
25	0.34236	0.32121	0.08299	0.33302	0.03795	0.07525
26	0.34970	0.32011	0.08292	0.33948	0.03764	0.07634
27	0.35679	0.31966	0.08264	0.34775	0.03699	0.07545
28	0.36411	0.31848	0.08227	0.35470	0.03548	0.07577
29	0.37209	0.31760	0.08303	0.36135	0.03540	0.07579
30	0.37936	0.31731	0.08340	0.36691	0.03289	0.07438
31	0.38640	0.31656	0.08308	0.37509	0.03277	0.07538
32	0.39451	0.31542	0.08220	0.38439	0.03316	0.07590
33	0.40239	0.31489	0.08291	0.39244	0.03235	0.07550
34	0.41061	0.31412	0.08214	0.40091	0.03191	0.07481
35	0.41864	0.31357	0.08257	0.40789	0.03069	0.07528
36	0.42648	0.31288	0.08188	0.41587	0.03009	0.07503
37	0.43462	0.31188	0.08297	0.42459	0.02941	0.07492
38	0.44241	0.31069	0.08331	0.43344	0.02849	0.07480
39	0.45096	0.31043	0.08292	0.44149	0.02800	0.07460
40	0.45906	0.30934	0.08284	0.44968	0.02656	0.07432
41	0.46818	0.30802	0.08260	0.45784	0.02609	0.07404
42	0.47601	0.30763	0.08177	0.46627	0.02475	0.07516
43	0.48357	0.30675	0.08225	0.47492	0.02376	0.07472
44	0.49233	0.30618	0.08306	0.48345	0.02354	0.07534
45	0.50069	0.30530	0.08266	0.49176	0.02240	0.07504
46	0.50932	0.30478	0.08231	0.50043	0.02141	0.07450
47	0.51830	0.30389	0.08219	0.50973	0.02114	0.07387
48	0.52615	0.30317	0.08254	0.51801	0.02053	0.07405
49	0.53563	0.30178	0.08301	0.52671	0.01981	0.07384
50	0.54359	0.30072	0.08246	0.53487	0.01868	0.07394
51	0.55232	0.30020	0.08220	0.54397	0.01740	0.07490
52	0.56133	0.29986	0.08294	0.55217	0.01698	0.07553
53	0.56987	0.29925	0.08270	0.56033	0.01642	0.07516
54	0.57848	0.29821	0.08242	0.56924	0.01532	0.07467
55	0.58766	0.29750	0.08198	0.57838	0.01375	0.07295
56	0.59598	0.29691	0.08212	0.58749	0.01392	0.07392
57	0.60439	0.29569	0.08188	0.59556	0.01318	0.07434
58	0.61291	0.29540	0.08271	0.60391	0.01230	0.07454
59	0.62153	0.29464	0.08299	0.61382	0.01218	0.07489
60	0.62984	0.29417	0.08304	0.62279	0.01174	0.07418
61	0.63927	0.29313	0.08271	0.63142	0.01066	0.07347
62	0.64748	0.29255	0.08316	0.64046	0.01002	0.07328
63	0.65603	0.29181	0.08230	0.64981	0.00900	0.07372
64	0.66435	0.29128	0.08257	0.65785	0.00891	0.07391
65	0.67264	0.29052	0.08289	0.66603	0.00827	0.07442
66	0.68063	0.29001	0.08329	0.67432	0.00714	0.07420
67	0.68891	0.28957	0.08265	0.68319	0.00684	0.07348
68	0.69692	0.28928	0.08261	0.69215	0.00609	0.07336
69	0.70506	0.28841	0.08264	0.70109	0.00563	0.07387
70	0.71254	0.28799	0.08301	0.70956	0.00525	0.07454
71	0.72065	0.28802	0.08372	0.71785	0.00481	0.07494
72	0.72906	0.28715	0.08350	0.72585	0.00465	0.07453
73	0.73701	0.28664	0.08280	0.73501	0.00423	0.07462
74	0.74497	0.28683	0.08310	0.74329	0.00387	0.07434
75	0.75238	0.28636	0.08298	0.75189	0.00338	0.07437
76	0.76006	0.28606	0.08363	0.76005	0.00270	0.07478
77	0.76804	0.28616	0.08344	0.76893	0.00362	0.07545
78	0.77620	0.28573	0.08346	0.77663	0.00288	0.07469
79	0.78411	0.28549	0.08347	0.78513	0.00235	0.07455
80	0.79140	0.28495	0.08262	0.79364	0.00273	0.07449
81	0.79914	0.28511	0.08282	0.80197	0.00223	0.07435
82	0.80645	0.28466	0.08282	0.80941	0.00200	0.07440
83	0.81422	0.28439	0.08345	0.81772	0.00170	0.07454
84	0.82175	0.28421	0.08334	0.82548	0.00183	0.07455
85	0.82854	0.28417	0.08371	0.83258	0.00118	0.07512
86	0.83584	0.28384	0.08387	0.84103	0.00115	0.07527
87	0.84342	0.28374	0.08353	0.84842	0.00168	0.07578
88	0.85057	0.28336	0.08362	0.85641	0.00092	0.07607
89	0.85807	0.28316	0.08389	0.86389	0.00086	0.07590
90	0.86502	0.28306	0.08348	0.87059	-0.00002	0.07464
91	0.87259	0.28289	0.08364	0.87901	0.00011	0.07444
92	0.87919	0.28251	0.08327	0.88591	0.00006	0.07540
93	0.88622	0.28234	0.08419	0.89335	-0.00010	0.07573
94	0.89407	0.28206	0.08427	0.90053	-0.00040	0.07618
95	0.90060	0.28186	0.08424	0.90641	-0.00085	0.07636
96	0.90803	0.28111	0.08420	0.91409	-0.00163	0.07602
97	0.91528	0.28092	0.08384	0.92118	-0.00169	0.07585
98	0.92226	0.28035	0.08417	0.92862	-0.00203	0.07555
99	0.93006	0.28029	0.08469	0.93528	-0.00305	0.07612
100	0.93718	0.27971	0.08404	0.94217	-0.00315	0.07612
101	0.94445	0.27887	0.08431	0.94927	-0.00382	0.07605
102	0.95245	0.27880	0.08432	0.95624	-0.00399	0.07606
103	0.95924	0.27796	0.08420	0.96305	-0.00441	0.07604
104	0.96640	0.27709	0.08365	0.96984	-0.00527	0.07644
105	0.97361	0.27700	0.08449	0.97746	-0.00556	0.07641
106	0.98117	0.27656	0.08455	0.98460	-0.00604	0.07606
107	0.98864	0.27574	0.08464	0.99151	-0.00643	0.07643
108	0.99647	0.27546	0.08422	0.99923	-0.00705	0.07711
109	1.00390	0.27459	0.08446	1.00579	-0.00789	0.07716
110	1.01155	0.27463	0.08458	1.01317	-0.00858	0.07685
111	1.01906	0.27415	0.08452	1.02076	-0.00870	0.07652
112	1.02654	0.27392	0.08472	1.02888	-0.00889	0.07611
113	1.03410	0.27324	0.08455	1.03632	-0.01003	0.07575
114	1.04158	0.27278	0.08439	1.04394	-0.00993	0.07661
115	1.04898	0.27261	0.08458	1.05104	-0.01014	0.07702
116	1.05606	0.27194	0.08454	1.05894	-0.01067	0.07725
117	1.06377	0.27145	0.08495	1.06578	-0.01102	0.07714
118	1.07104	0.27136	0.08533	1.07396	-0.01143	0.07742
119	1.07876	0.27112	0.08499	1.08130	-0.01160	0.07699
120	1.08587	0.27076	0.08494	1.08913	-0.01205	0.07684
121	1.09394	0.27047	0.08469	1.09723	-0.01196	0.07708
122	1.10182	0.26990	0.08546	1.10448	-0.01267	0.07706
123	1.10944	0.26976	0.08532	1.11244	-0.01279	0.07790
124	1.11649	0.26938	0.08503	1.11994	-0.01373	0.07646
125	1.12466	0.26919	0.08524	1.12801	-0.01338	0.07694
126	1.13262	0.26895	0.08507	1.13681	-0.01397	0.07698
127	1.14037	0.26842	0.08450	1.14447	-0.01399	0.07720
128	1.14796	0.26812	0.08432	1.15264	-0.01416	0.07698
129	1.15540	0.26803	0.08416	1.16000	-0.01447	0.07645
130	1.16307	0.26855	0.08540	1.16808	-0.01430	0.07636
131	1.17119	0.26907	0.08512	1.17674	-0.01353	0.07730
132	1.17832	0.26836	0.08445	1.18432	-0.01398	0.07702
133	1.18525	0.26911	0.08409	1.19222	-0.01296	0.07792
134	1.19239	0.26931	0.08528	1.19936	-0.01388	0.07703
135	1.19957	0.26990	0.08584	1.20745	-0.01315	0.07749
136	1.20668	0.26982	0.08550	1.21507	-0.01243	0.07811
137	1.21387	0.27008	0.08557	1.22283	-0.01213	0.07783
138	1.22119	0.27009	0.08531	1.23044	-0.01235	0.07757
139	1.22784	0.26988	0.08524	1.23770	-0.01223	0.07795
140	1.23463	0.26974	0.08492	1.24449	-0.01330	0.07709
141	1.24179	0.27041	0.08614	1.25222	-0.01208	0.07799
142	1.24889	0.27066	0.08560	1.25908	-0.01183	0.07836
143	1.25527	0.27037	0.08494	1.26592	-0.01163	0.07897
144	1.26195	0.27056	0.08520	1.27261	-0.01241	0.07778
145	1.26819	0.27079	0.08521	1.27939	-0.01156	0.07861
146	1.27516	0.27077	0.08545	1.28544	-0.01164	0.07836
147	1.28110	0.27137	0.08506	1.29149	-0.01202	0.07819
148	1.28665	0.27070	0.08539	1.29725	-0.01120	0.07915
149	1.29279	0.27117	0.08564	1.30320	-0.01095	0.07851
150	1.29843	0.27107	0.08482	1.30902	-0.01096	0.07865
151	1.30458	0.27087	0.08506	1.31378	-0.01177	0.07792
152	1.30969	0.27066	0.08510	1.31899	-0.01168	0.07883
153	1.31482	0.27116	0.08577	1.32368	-0.01216	0.07812
154	1.32006	0.27048	0.08575	1.32803	-0.01179	0.07895
155	1.32464	0.27105	0.08572	1.33277	-0.01173	0.07866
156	1.32921	0.27044	0.08568	1.33628	-0.01262	0.07829
157	1.33320	0.27091	0.08532	1.34070	-0.01143	0.07911
158	1.33768	0.27091	0.08514	1.34419	-0.01231	0.07803
159	1.34095	0.27091	0.08516	1.34814	-0.01174	0.07831
160	1.34476	0.27094	0.08559	1.35148	-0.01115	0.07860
161	1.34840	0.27111	0.08574	1.35466	-0.01109	0.07867
162	1.35046	0.27132	0.08540	1.35719	-0.01141	0.07861
163	1.35357	0.27103	0.08530	1.35957	-0.01186	0.07771
164	1.35568	0.27087	0.08489	1.36144	-0.01195	0.07751
165	1.35754	0.27113	0.08549	1.36390	-0.01152	0.07864
166	1.35934	0.27123	0.08543	1.36576	-0.01107	0.07911
